1 1
129.0: -27,36.0: -41,
145.0: -52,129.0: -27,145.0: -56,36.0: -42,
129.0: -28,145.0: -48,36.0: -42,
129.0: -23,145.0: -39,36.0: -49,
129.0: -24,36.0: -74,
145.0: -38,129.0: -25,145.0: -51,36.0: -47,
129.0: -21,145.0: -42,36.0: -52,
129.0: -25,145.0: -54,36.0: -46,
129.0: -24,36.0: -52,
129.0: -28,145.0: -52,36.0: -51,
129.0: -31,145.0: -55,36.0: -46,
129.0: -35,145.0: -52,36.0: -46,
129.0: -21,36.0: -42,
145.0: -50,129.0: -24,145.0: -47,36.0: -45,
145.0: -48,129.0: -24,,129.0: -23,145.0: -45,36.0: -44,
129.0: -25,145.0: -46,36.0: -44,
129.0: -25,145.0: -50,36.0: -43,
129.0: -25,145.0: -52,36.0: -42,
129.0: -25,145.0: -52,36.0: -47,
129.0: -26,145.0: -53,36.0: -51,
129.0: -27,145.0: -54,36.0: -52,
1 2
,129.0: -38,145.0: -46,36.0: -43,
129.0: -44,145.0: -42,36.0: -54,
129.0: -31,145.0: -47,36.0: -42,
129.0: -28,145.0: -46,36.0: -48,
129.0: -26,,129.0: -29,36.0: -44,
145.0: -56,129.0: -32,145.0: -46,36.0: -41,
129.0: -32,145.0: -48,36.0: -40,
129.0: -30,145.0: -48,36.0: -42,
36.0: -41,
129.0: -30,145.0: -54,36.0: -42,
145.0: -55,129.0: -29,36.0: -44,
129.0: -30,145.0: -52,36.0: -46,
129.0: -28,145.0: -53,36.0: -48,
1 3
129.0: -31,145.0: -45,36.0: -39,
129.0: -32,145.0: -40,36.0: -46,
129.0: -41,145.0: -47,36.0: -50,
,129.0: -39,145.0: -43,36.0: -52,
129.0: -35,145.0: -46,36.0: -51,
129.0: -36,145.0: -45,36.0: -50,
145.0: -46,36.0: -51,
129.0: -36,145.0: -46,36.0: -53,
129.0: -34,145.0: -45,36.0: -49,
129.0: -35,145.0: -45,36.0: -50,
129.0: -37,145.0: -42,36.0: -48,
129.0: -42,145.0: -44,36.0: -49,
,129.0: -33,129.0: -35,145.0: -42,36.0: -52,
129.0: -38,145.0: -41,36.0: -49,
2 1
,129.0: -25,145.0: -45,36.0: -46,
129.0: -26,145.0: -39,36.0: -42,
145.0: -40,36.0: -45,
129.0: -25,145.0: -42,36.0: -45,
129.0: -26,145.0: -37,36.0: -40,
129.0: -28,145.0: -40,36.0: -40,
129.0: -29,145.0: -39,36.0: -39,
129.0: -26,145.0: -39,36.0: -41,
129.0: -30,145.0: -39,36.0: -41,
129.0: -28,36.0: -43,
129.0: -28,145.0: -40,36.0: -42,
129.0: -29,145.0: -40,36.0: -36,
129.0: -27,145.0: -41,36.0: -42,
2 2
129.0: -35,145.0: -45,36.0: -48,
129.0: -35,145.0: -42,36.0: -54,
129.0: -30,145.0: -45,36.0: -99,
129.0: -31,145.0: -43,36.0: -100,
129.0: -34,145.0: -40,36.0: -54,
129.0: -35,145.0: -42,36.0: -50,
129.0: -38,145.0: -40,36.0: -46,
129.0: -35,145.0: -40,36.0: -47,
129.0: -38,145.0: -40,36.0: -44,
145.0: -39,36.0: -43,
129.0: -34,145.0: -42,36.0: -46,
129.0: -39,145.0: -39,36.0: -43,
129.0: -40,145.0: -39,36.0: -46,
129.0: -32,145.0: -37,36.0: -45,
2 3
129.0: -27,145.0: -42,36.0: -44,
129.0: -31,145.0: -41,36.0: -46,
129.0: -31,145.0: -42,36.0: -46,
129.0: -52,145.0: -39,36.0: -45,
129.0: -47,145.0: -42,36.0: -42,
129.0: -41,145.0: -50,36.0: -40,
129.0: -36,,,129.0: -35,145.0: -50,36.0: -43,
129.0: -34,36.0: -49,
145.0: -45,145.0: -45,36.0: -43,
129.0: -34,145.0: -44,36.0: -49,
129.0: -31,145.0: -44,36.0: -54,
129.0: -30,145.0: -44,36.0: -52,
129.0: -32,145.0: -45,36.0: -53,
129.0: -32,145.0: -44,36.0: -51,
3 1
129.0: -43,145.0: -43,36.0: -44,
129.0: -33,145.0: -39,36.0: -49,
129.0: -46,36.0: -42,
145.0: -51,129.0: -34,145.0: -48,36.0: -54,
36.0: -45,
129.0: -34,129.0: -31,145.0: -38,36.0: -47,
129.0: -31,145.0: -36,36.0: -53,
129.0: -34,145.0: -39,36.0: -44,
129.0: -33,145.0: -38,36.0: -50,
129.0: -30,145.0: -39,36.0: -49,
129.0: -33,145.0: -40,36.0: -42,
129.0: -34,145.0: -41,36.0: -44,
145.0: -40,36.0: -46,
145.0: -50,129.0: -47,36.0: -53,
129.0: -46,145.0: -46,36.0: -52,
129.0: -43,145.0: -45,36.0: -41,
129.0: -42,145.0: -43,36.0: -42,
3 2
,129.0: -36,,36.0: -36,
129.0: -33,145.0: -38,36.0: -36,
129.0: -35,145.0: -42,36.0: -36,
129.0: -34,145.0: -42,36.0: -36,
129.0: -35,145.0: -40,36.0: -36,
129.0: -35,36.0: -35,
129.0: -34,145.0: -38,36.0: -35,
,129.0: -34,,,129.0: -40,36.0: -37,
129.0: -39,145.0: -39,36.0: -34,
129.0: -34,145.0: -37,36.0: -38,
129.0: -37,36.0: -34,
129.0: -38,145.0: -42,36.0: -34,
129.0: -39,145.0: -42,36.0: -35,
129.0: -37,145.0: -42,36.0: -34,
129.0: -36,145.0: -40,129.0: -34,,129.0: -36,145.0: -47,36.0: -39,
3 3
129.0: -30,145.0: -42,36.0: -51,
129.0: -33,145.0: -40,36.0: -45,
129.0: -36,145.0: -39,36.0: -42,
129.0: -35,145.0: -39,36.0: -43,
145.0: -37,36.0: -42,
129.0: -36,145.0: -36,36.0: -43,
129.0: -36,145.0: -36,36.0: -46,
129.0: -36,145.0: -35,36.0: -44,
129.0: -36,145.0: -36,36.0: -45,
129.0: -36,145.0: -36,36.0: -43,
129.0: -36,145.0: -36,36.0: -42,
129.0: -38,145.0: -36,36.0: -44,
